"","0.5"
"hetero_0.9",29.3666666666667
"hetero_0.74",33.9666666666667
"hetero_0.74",34.2666666666667
"hetero_0.58",36.7
"hetero_0.5",37.0333333333333
"hetero_0.436",37.4333333333333
"hetero_0.308",39.0333333333333
"hetero_0.292",39.1
"hetero_0.196",39.7666666666667
"homo_0.9",29.4666666666667
"homo_0.74",29.1333333333333
"homo_0.74",29.1333333333333
"homo_0.58",30.5333333333333
"homo_0.5",31.2
"homo_0.436",33
"homo_0.308",35.7666666666667
"homo_0.292",35.9333333333333
"homo_0.196",39.6666666666667
